Date,ca,fr,ge,it,jp,uk,us
2004/5/10,-2.257925,-3.243453,-3.389171,-2.658879,-6.607620,-2.880161,-1.094290
2004/5/11,1.099936,1.055792,1.316825,0.892243,0.316299,0.110046,0.778587
2004/5/12,0.143290,-0.468923,-1.073413,-0.214805,3.361906,0.156071,0.145003
2004/5/13,-1.084310,0.857682,0.780481,0.613181,-3.489914,0.267838,-0.074177
2004/5/14,0.474729,-0.136898,-0.449437,-0.267509,-0.247247,-0.453264,-0.109568
2004/5/17,-0.204489,-0.191245,-0.169387,-0.011030,-2.874117,-0.495747,-1.076937
2004/5/18,-0.285176,0.096048,0.669318,0.065114,1.896270,0.484166,0.696997
2004/5/19,1.471421,2.679123,2.707313,2.193400,3.882376,1.912560,-0.251583
2004/5/20,-0.412463,-1.823000,-1.755867,-1.198606,-0.866466,-1.579873,0.071400
2004/5/21,0.617179,0.704983,0.612583,0.544770,2.889476,1.097991,0.399153
2004/5/24,0.313612,0.148603,0.489181,-1.560039,0.002832,-0.019332,0.176448
2004/5/25,1.421668,0.675601,0.142447,0.697979,-1.171765,0.829595,1.598895
2004/5/26,-0.330468,1.241623,0.909987,0.864644,1.658174,0.684828,0.176788
2004/5/27,1.359464,1.953129,2.528679,1.790736,0.803717,1.434073,0.544003
2004/5/28,-0.728520,-1.199761,-0.632624,-0.619068,1.181182,-0.583040,-0.074025
2004/5/31,0.897756,0.524733,0.466069,0.030393,-0.110172,0.000000,0.000000
2004/6/1,-0.314540,-1.163193,-1.386196,-0.278483,0.778447,-0.009784,0.048151
2004/6/2,0.133703,1.007753,1.029681,0.952167,-0.843331,0.373838,0.321145
2004/6/3,-0.404343,-0.029957,0.353704,-0.251178,-2.326722,0.197001,-0.779330
2004/6/4,0.799881,1.156000,1.106781,0.735496,0.156458,0.190108,0.522097
2004/6/7,1.401523,1.162308,1.895000,1.477347,3.950653,0.764356,1.578775
2004/6/8,0.073387,-0.362977,-0.323622,-0.130915,0.643073,0.251762,0.126825
2004/6/9,-1.798538,-2.028974,-2.007630,-1.577164,-0.161385,-0.692909,-0.971549
2004/6/10,0.000732,0.296818,0.579755,0.588539,0.638908,0.037159,0.453512
2004/6/11,0.046976,-1.018543,-0.879933,-0.787096,-0.874410,-0.751376,0.000000
2004/6/14,-1.222553,-0.766642,-0.961161,-0.030933,-0.963225,-1.121145,-0.999393
2004/6/15,0.733044,0.893616,0.880527,1.127180,0.226850,0.610410,0.616547
2004/6/16,0.458276,0.255731,-0.141810,-0.191003,1.521635,1.152335,0.156346
2004/6/17,0.984878,0.317013,-0.186278,0.543187,0.286907,0.382916,-0.139371
2004/6/18,0.497422,1.325506,1.119316,0.932396,-0.869313,0.552882,0.255695
2004/6/21,0.014787,-0.209456,-0.499825,-1.138750,1.664351,-0.510148,-0.432378
2004/6/22,1.195067,-0.973939,-1.480409,-0.616843,-0.692436,-1.216898,0.376963
2004/6/23,0.431677,0.455744,0.382441,0.376937,0.014006,0.317367,0.862181
2004/6/24,0.866128,1.613095,2.166616,1.111688,2.550266,0.415071,-0.296488
2004/6/25,-0.921732,-0.601350,-0.162408,-0.187575,-0.325923,-0.179160,-0.568894
2004/6/28,0.027096,1.168451,1.775129,0.886324,0.888319,0.954944,-0.081724
2004/6/29,0.252028,-0.928601,-0.607379,-0.872151,-0.457063,-1.251404,0.253803
2004/6/30,0.754755,-0.190835,0.019340,-0.189147,-0.591144,-0.704459,0.421610
2004/7/1,0.635929,-0.474663,-0.523766,-0.607183,0.742778,-0.699186,-1.057991
2004/7/2,-0.368666,0.399862,0.283826,1.161662,-1.552610,0.363242,-0.303781
2004/7/5,-0.072681,-0.154460,-0.308239,-0.142301,-2.012575,-0.103762,0.000000
2004/7/6,-0.104206,-0.693435,-1.237963,-0.399723,-0.516596,-0.090559,-0.837129
2004/7/7,0.437030,0.728398,0.377738,0.663093,-0.132833,0.450605,0.206552
2004/7/8,-0.371289,0.623225,0.371142,0.691904,-0.664486,0.612883,-0.834555
2004/7/9,0.443962,-0.136525,-0.359859,0.216744,1.364428,0.015411,0.353533
